time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.605212,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.606749,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.606753,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.606755,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.606758,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.60676,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.606872,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.607618,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.60762,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.607623,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.607703,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.607706,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.607715,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.607768,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.607804,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.607849,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.60788,74,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.607916,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.607919,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.608006,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.60816,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.608162,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.608165,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.608254,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.608276,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.608278,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.60834,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.612319,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
